"Category","Benchmark","Iterations","TotalWall","AverageWall","MaxWall","MinWall","Timestamp","JuliaHash","CodeHash","OS","CPUCores"
"Meshes","stl_load_topology",10,0.000810243,8.10243e-5,0.000105702,7.5808e-5,"2014-08-12 17:24:11","daa3f82ab4454505803ee409a5f13d39e105bda6","556c93d51edb50b52037104deaa4719ec1f9f020","Linux",4
"Meshes","stl_load_topology",10,0.0008068819999999999,8.068819999999998e-5,0.000104899,7.6501e-5,"2014-08-12 20:46:30","daa3f82ab4454505803ee409a5f13d39e105bda6","556c93d51edb50b52037104deaa4719ec1f9f020","Linux",4
