"Category","Benchmark","Iterations","TotalWall","AverageWall","MaxWall","MinWall","Timestamp","JuliaHash","CodeHash","OS","CPUCores"
"Meshes","stl_load",10,0.001348846,0.00013488459999999998,0.000165812,0.000123076,"2014-08-12 17:24:11","daa3f82ab4454505803ee409a5f13d39e105bda6","556c93d51edb50b52037104deaa4719ec1f9f020","Linux",4
"Meshes","stl_load",10,0.00073189,7.318900000000001e-5,7.6521e-5,7.1966e-5,"2014-08-12 20:46:30","daa3f82ab4454505803ee409a5f13d39e105bda6","556c93d51edb50b52037104deaa4719ec1f9f020","Linux",4
